"Tiempo (s) Serie Nº 2";"Fuerza (N) Serie Nº 2"
43,950;33,57
44,000;33,54
44,050;33,54
44,100;33,57
44,150;33,51
44,200;33,45
44,250;33,45
44,300;33,38
44,350;33,38
44,400;33,45
44,450;33,45
44,500;33,45
44,550;33,51
44,600;33,48
44,650;33,51
44,700;33,48
44,750;33,38
44,800;33,35
44,850;33,32
44,900;33,22
44,950;33,19
45,000;33,19
45,050;33,32
45,100;33,32
45,150;33,32
45,200;33,29
45,250;33,19
45,300;33,19
45,350;33,16
45,400;33,16
45,450;33,12
45,500;33,16
45,550;33,09
45,600;33,09
45,650;33,09
45,700;33,22
45,750;33,19
45,800;33,22
45,850;33,19
45,900;33,12
45,950;33,25
46,000;33,32
46,050;33,41
46,100;33,51
46,150;33,64
46,200;33,80
46,250;33,77
46,300;33,64
46,350;33,57
46,400;33,57
46,450;33,57
46,500;33,57
46,550;33,67
46,600;33,70
46,650;33,67
46,700;33,73
46,750;33,73
46,800;33,70
46,850;33,67
46,900;33,64
46,950;33,64
47,000;33,64
47,050;33,70
47,100;33,73
47,150;33,70
47,200;33,73
47,250;33,70
47,300;33,73
47,350;33,73
47,400;33,77
47,450;33,64
47,500;33,64
47,550;33,64
47,600;33,64
47,650;33,64
47,700;33,67
47,750;33,70
47,800;33,83
47,850;33,83
47,900;33,83
47,950;33,80
48,000;33,73
48,050;33,77
48,100;33,70
48,150;33,70
48,200;33,64
48,250;33,64
48,300;33,64
48,350;33,61
48,400;33,61
48,450;33,70
48,500;33,70
48,550;33,73
48,600;33,77
48,650;33,77
48,700;33,73
48,750;33,67
48,800;33,70
48,850;33,64
48,900;33,61
48,950;33,61
49,000;33,57
49,050;33,57
49,100;33,57
49,150;33,64
49,200;33,67
49,250;33,67
49,300;33,67
49,350;33,57
49,400;33,54
49,450;33,54
49,500;33,51
49,550;33,51
49,600;33,45
49,650;33,45
49,700;33,51
49,750;33,54
49,800;33,51
49,850;33,57
49,900;33,57
49,950;33,61
50,000;33,57
50,050;33,54
50,100;33,51
50,150;33,51
50,200;33,48
50,250;33,45
50,300;33,48
50,350;33,51
50,400;33,54
50,450;33,57
50,500;33,57
50,550;33,57
50,600;33,57
50,650;33,51
50,700;33,51
50,750;33,45
50,800;33,48
50,850;33,57
50,900;33,51
50,950;33,51
51,000;33,51
51,050;33,51
51,100;33,61
51,150;33,61
